brand,carHL,carName,carUrl,color,description,doors,lot,model,price,style,views,vinCode,year
Chevrolet,"['\nPart of the Greensboro Drop-Top Collection \r\n', '\nFrame Up Restoration \r\n', '\n327 CID Engine \r\n', '\nAutomatic Transmission \r\n', '\n18/20 American Racing Billet Wheels \r\n', '\nPower Disc Brakes \r\n', '\nPower Steering \r\n', '\nPower Top \r\n', '\nBucket Seats & Console\n']",Impala,https://www.gaaclassiccars.com/vehicles/39775/1963-chevrolet-impala,White,Frame Up Restoration,2,ST0133,Impala,,Convertible,"2,380 Views",VIN:31867A144276,1963
Chevrolet,"['\nPart of the Greensboro Drop-Top Collection \r\n', '\nFrame Off Restored \r\n', '\n6.2 LSA Supercharged Engine \r\n', '\nTremec 6 Speed Transmission \r\n', '\nWilwood 4 Wheel Power Disc Brakes \r\n', '\nCoilovers \r\n', '\nVintage A/C\r\n', '\nPower Steering \r\n', '\n20"" Billet Specialties Wheels \r\n', '\nLeather Interior Done in Stock Colors \r\n', '\nTilt Column \r\n', '\nCruise Control \r\n', '\nAftermarket Stereo \r\n', '\nNavigation \r\n', '\nCloth Power Top \r\n', '\nPosi Rear End\r\n', '\nTubular A-Arms and Trailing Arms\n']",Impala,https://www.gaaclassiccars.com/vehicles/39776/1961-chevrolet-impala,Maroon,6.2 LSA Supercharged Engine,2,ST0131,Impala,,Convertible,"2,140 Views",VIN:11867J147990,1961
Chevrolet,"['\nPart of the Greensboro Drop-Top Collection \r\n', '\nFrame Off Restored\r\n', '\nLS Swapped Engine \r\n', '\nEdelbrock Intake with FI Tech Fuel Injection \r\n', '\nVintage A/C\r\n', '\n4 Wheel Disc Brakes \r\n', '\n9"" Rear End \r\n', '\nRack and Pinion \r\n', '\nPower Steering \r\n', '\n4 Corner Air Ride \r\n', '\nTubular A Arms \r\n', '\nBillet Specialties 20"" Wheels \r\n', '\nTilt Column \r\n', '\nBluetooth Radio \r\n', '\nPower Top \r\n', '\nTriple Black\n']",Impala,https://www.gaaclassiccars.com/vehicles/40081/1962-chevrolet-impala,Black,Frame Off Restored,2,ST0132,Impala,,Convertible,"1,951 Views",VIN:21867B199260,1962
Chevrolet,"['\nPart of the Greensboro Drop-Top Collection \r\n', '\nFrame Off Restoration \r\n', '\nRed Oxide Floor Pans\r\n', '\nDetailed Undercarriage\r\n', '\n283 CID Engine\r\n', '\n3 Speed Automatic Transmission \r\n', '\nPower Steering \r\n', '\nPower Top \r\n', '\nWide White Wall Tires \r\n', '\nSpinner Hubcaps \r\n', '\nDual Antennas\r\n', '\nChrome Fender Mounted Mirrors\n']",Impala,https://www.gaaclassiccars.com/vehicles/39765/1960-chevrolet-impala,Red,Frame Off Restoration,2,ST0130,Impala,,Convertible,"2,780 Views",VIN:01867S224975,1960
Chevrolet,"['\nPart of the Greensboro Drop-Top Collection \r\n', '\n283 CID Engine\r\n', '\n4 Barrel Carburetor \r\n', '\nPoints Ignition \r\n', '\n3-Speed Column Shift with Overdrive \r\n', '\nDual Exhaust \r\n', '\nManual Drum Brakes \r\n', '\nManual Steering \r\n', '\nPower Top \r\n', '\nTinted Windshield \r\n', '\nAM Radio\r\n', '\nDual Rear Antenna \r\n', '\nDual Outside Mirrors\r\n', '\nTrunk Mat \r\n', '\nContinental Kit \r\n', '\nFender Skirts \r\n', '\nWide White Bias-Ply Tires \r\n', '\nDash Speaker \r\n', '\n2-Speed Wipers \r\n', '\nFull Wheel Covers with Spinners \r\n', '\nFront Bumper Guard \r\n', '\nCorrect Style Carburetor \r\n', '\nCorrect Style Generator \r\n', '\nOE-Style Radiator with Shroud\n']",Impala,https://www.gaaclassiccars.com/vehicles/39772/1959-chevrolet-impala,Roman Red,283 CID Engine,2,ST0129,Impala,,Convertible,"2,127 Views",VIN:9186769298,1959
Chevrolet,"['\nPart of the Greensboro Drop-Top Collection \r\n', '\nFrame Off Restoration \r\n', '\nRio Red with Tri-Tone Interior\r\n', '\nRed Oxide Floor Pans \r\n', '\nDetailed Undercarriage \r\n', '\n348 CID Engine\r\n', '\nAutomatic Transmission \r\n', '\nPower Steering \r\n', '\nPower Disc Brakes \r\n', '\nContinental Kit \r\n', '\nFender Skirts \r\n', '\nParade Boot\r\n', '\nWide White Wall Tires \r\n', '\nSpinner Hubcaps \r\n', '\nPower Top\n']",Impala,https://www.gaaclassiccars.com/vehicles/39729/1958-chevrolet-impala,Red,Frame Off Restoration,2,ST0128,Impala,,Convertible,"3,581 Views",VIN:F58J192858,1958
Chevrolet,"['\nPart of the Greensboro Drop-Top Collection\r\n', '\nV8 Engine \r\n', '\nFrame Off Restoration \r\n', '\nRed Oxide Floors \r\n', '\nDetailed Underside \r\n', '\nMatador Red Paint\r\n', '\nRed/Silver Interior\r\n', '\nPower Top\r\n', '\nWide White Wall Radial Tires \r\n', '\nSpinner Hubcaps \r\n', '\nAutomatic Transmission \r\n', '\nFront and Rear Bumper Guards \r\n', '\nFender Skirts \r\n', '\nParade Boot\n']",Bel Air,https://www.gaaclassiccars.com/vehicles/39728/1957-chevrolet-bel-air,Red,V8 Engine,2,ST0127,Bel Air,,Convertible,"2,920 Views",VIN:VC57A100713,1957
Chevrolet,"['\nFrame Off Restoration \r\n', '\nBuilt 327 CID Engine \r\n', '\nExhaust Electric Cut Outs \r\n', '\nBig Window Truck\n']",C10,https://www.gaaclassiccars.com/vehicles/39859/1964-chevrolet-c10,Black,Frame Off Restoration,2,ST0126,C10,,Pickup Truck,"1,287 Views",VIN:4C144N110819,1964
Chevrolet,"['\nBloomington Gold Survivor 2021\r\n', '\nNCRS Top Flights 2022\r\n', '\nNCRS Shipping Data Report\r\n', '\nInvitation to 2023 NCRS National Meet\r\n', '\nAl Grenning Classic Car Affirmation 2018\r\n', '\nUnrestored\r\n', '\n427 CID V8 425 HP Engine\r\n', '\n4-Speed Manual Transmission\r\n', '\nRally Red Exterior\r\n', '\nBlack Leather Interior\r\n', '\nAuxiliary Hardtop\n']",Corvette,https://www.gaaclassiccars.com/vehicles/39726/1966-chevrolet-corvette,Red,Unrestored,2,ST0124,Corvette,,Convertible,"2,298 Views",VIN:194676S116009,1966
Ford,"['\n428 CID Cobra Jet Engine\r\n', '\nAutomatic Transmission\r\n', '\n15"" Shelby Wheels\r\n', '\nWhite Convertible Soft Top\r\n', '\nHas a Marti Report\r\n', '\nBlack Vinyl Upholstery\r\n', '\nLucas Fog Lights\r\n', '\nDash Signed by Carroll Shelby\n']",MustangShelby GT500,https://www.gaaclassiccars.com/vehicles/39737/1968-ford-mustang-shelby-gt500,Red,Dash Signed by Carroll Shelby,2,ST0123,Mustang,,Convertible,"2,592 Views",VIN:8T03S11606700255,1968
Chevrolet,"['\n31 Actual Miles\r\n', '\nOnly Made in 2 Colors\r\n', '\nZ-51 Package\r\n', '\n3LT Package\r\n', '\nMatches the 60th Anniversary\r\n', '\nRed Calipers\r\n', '\nLogo on the Seat, Steering Wheel and Door Sills\n']",CorvetteStingray,https://www.gaaclassiccars.com/vehicles/40054/2023-chevrolet-corvette-stingray,White,31 Actual Miles,2,ST0125,Corvette,,Coupe,671 Views,VIN:1G1YC3D43P5503956,2023
Chevrolet,"['\n327 CID 340hp V8 Engine \r\n', '\nNo-Hit Body \r\n', '\nTwo Owner Car \r\n', '\n4 Speed Manual Transmission \r\n', '\nRestoration was Done in 2008 Prior to Current Owner Purchasing\r\n', '\nHas Been Driven Less Than 300 Miles by Current Owner\n']",Corvette,https://www.gaaclassiccars.com/vehicles/39651/1962-chevrolet-corvette,Black,327 CID 340hp V8 Engine,2,ST0120,Corvette,,Convertible,"1,963 Views",VIN:20867S103020,1962
Chevrolet,"['\nLS3 Engine\r\n', '\nAutomatic Overdrive Transmission\r\n', '\nPower Steering\r\n', '\nPower 4-Wheel Disc Brakes\r\n', '\nAir Conditioning\r\n', '\nBucket Seats & Console\r\n', '\nDakota Gauges with Console Gauges\r\n', '\nCanvas Top\r\n', '\nPower Top\r\n', '\nNew Billet Specialties Wheels\n']",Camaro,https://www.gaaclassiccars.com/vehicles/40019/1969-chevrolet-camaro,Silver,LS3 Engine,2,ST0122,Camaro,,Convertible,"1,382 Views",VIN:123679N628820,1969
Dodge,"['\nMCO Selling As Used Vehicle \r\n', '\n1 of 300 Produced\r\n', '\nBlack Exterior with Black Leather Interior\r\n', '\n6.2L Supercharged Hemi\r\n', '\n807 Horsepower Unlocks with Included Red Key\r\n', '\n8-Speed Automatic Transmission\r\n', '\nRear Wheel Drive\r\n', '\nFront Six Piston Brembo Brakes\r\n', '\nIntercooled Supercharger\r\n', '\nTwin Scoop Hood\r\n', '\nSRT (Street Racing Technology) Equipped\r\n', '\n11.8 Second Quarter Mile Time at 124 mph\r\n', '\n0-60 in 3.9 Seconds\r\n', '\nAluminum SRT 20"" Wheels\r\n', '\nPirelli 305/35ZR20 Tires\n']",ChallengerGhost Edition,https://www.gaaclassiccars.com/vehicles/39868/2023-dodge-challenger-ghost-edition,Black,1 of 300 Produced,Black,ST0121,Challenger,,Black,"1,311 Views",VIN:2C3CDZL98PH558141,2023
Dodge,"['\nViper GTS Blue Metallic with White Stripes\r\n', '\nBlack Leather Interior\r\n', '\n8.0L V10 Engine\r\n', '\n6-Speed Transmission\r\n', '\nFactory Alpine Audio System\r\n', '\nPolished Factory 5-Spoke Wheels\r\n', '\nClean CARFAX\r\n', '\n2-Longterm Owners\n']",ViperGTS,https://www.gaaclassiccars.com/vehicles/39722/1996-dodge-viper-gts,Viper GTS Blue,8.0L V10 Engine,2,ST0119,Viper,,Coupe,"2,102 Views",VIN:1B3ER69E7TV200802,1996
Chevrolet,"['\nNon Conforming VIN / Incorrect Fasteners\r\n', '\n912A Fathom Blue \r\n', '\n348 Tri-Power with Rochester Carburetors\r\n', '\nCorrect Air Cleaner \r\n', '\nPoints Ignition\r\n', '\nOE Exhaust Manifolds with Duals\r\n', '\nCorrect Radiator with Shroud\r\n', '\nCorrect Generator \r\n', '\n2 Speed Powerglide Automatic Transmission\r\n', '\nFactory Power Steering\r\n', '\nRideTech Suspension\r\n', '\nTubular Upper and Lower Control Arms\r\n', '\nFront Sway Bar\r\n', '\nFront Coil Overs\r\n', '\nRideTech Rear Control Arms\r\n', '\nRear Sway Bar \r\n', '\nRear Coil Overs\r\n', '\nBaer 6 Piston Calipers Front & Rear\r\n', '\nDrilled and Slotted Rotor\r\n', '\nPower Booster with Wilwood Master Cylinder \r\n', '\n20"" Billet Specialties Rear / 19"" Front\r\n', '\nRedline Radial Tires\r\n', '\nWindshield Washers\r\n', '\nElectric Wipers \r\n', '\nAM Pushbutton Radio\r\n', '\nDual Outside Mirrors\r\n', '\nTinted Windshield\r\n', '\nClock Carpeted Floor Mats\r\n', '\nHood Insulation\n']",Impala,https://www.gaaclassiccars.com/vehicles/39732/1958-chevrolet-impala,Fathom Blue,348 Tri-Power with Rochester Carburetors,2,ST0118,Impala,,Convertible,"1,852 Views",VIN:F58L170574,1958
Chevrolet,"['\nFrame Off Restoration with Photo Documentation \r\n', '\nNumbers Matching 327 CID 365hp Correct-Re Suffix Code and Casting #3782870 Block \r\n', '\nHolley Sniper Fuel Injection \r\n', '\n4 Speed Manual Transmission\r\n', '\nPower Steeroids Rack-N-Pinion Steering \r\n', '\nPower 4 Wheel Disc Brakes \r\n', '\nShark Bite Front and Rear Adjustable Coil Over Suspension \r\n', '\nAdjustable QA1 Shocks\r\n', '\nNew Procar Adjustable Seats\r\n', '\nCustom Rockford Fosgate Stereo with 6 Speakers and 2-3000 Watt Amps \r\n', '\nNew 17"" US Mags and Tires\n']",CorvetteResto Mod,https://www.gaaclassiccars.com/vehicles/40075/1964-chevrolet-corvette-resto-mod,Red,Frame Off Restoration with Photo Documentation,2,ST0116,Corvette,,Convertible,"1,129 Views",VIN:40867S115572,1964
Mercury,"['\n429 Super Cobra Jet Engine\r\n', '\n4 Speed Toploader Transmission \r\n', '\n4.30 Traction-Lok Rear Axles \r\n', '\nMagnum 500 Wheels\r\n', '\nBucket Seats and Console \r\n', '\nFront and Rear Spoilers \r\n', '\nFront Power Disc Brakes \r\n', '\nIn-Dash Tach and Gauges \r\n', '\nCompetition Orange Exterior \r\n', '\nMarti Report\n']",CycloneSpoiler,https://www.gaaclassiccars.com/vehicles/39802/1970-mercury-cyclone-spoiler,Competition Orange,429 Super Cobra Jet Engine,2,ST0117,Cyclone,,Coupe,"6,000 Views",VIN:0H17C521702,1970
Chevrolet,"['\nNon Conforming VIN / Incorrect Fasteners\r\n', '\nPrevious Title Branded Exceeds Mechanical Limits / Per NMVTIS Report \r\n', '\nProfessional Rotisserie Restoration\r\n', '\n383 CID Stroker V8 Engine with Aluminum Heads\r\n', '\n8-Stack Fuel Injection\r\n', '\nLong Tube Headers with Dual Exhaust \r\n', '\nAutomatic Transmission \r\n', '\n4 Wheel Drive\r\n', '\nPowder Coated Frame\r\n', '\nPower Brakes \r\n', '\nPower Steering\r\n', '\nBucket Seats and Console\r\n', '\nAMP Research Power Running Boards\r\n', '\nAir Conditioning \r\n', '\nRetroSound System \r\n', '\nRemovable Top\n']",K5 BlazerCustom,https://www.gaaclassiccars.com/vehicles/39696/1972-chevrolet-k5-blazer-custom,White,Professional Rotisserie Restoration,Orange/White,ST0115,K5 Blazer,,Suv,"2,441 Views",VIN:CKE182F154154,1972
Chevrolet,"['\n229 Actual Miles \r\n', '\nAutomatic Transmission\r\n', '\nBlack Exterior\r\n', '\nAdventure Red Interior\r\n', '\n70th Anniversary\r\n', '\nTech Package with Navigation, Data & Video Recorder\r\n', '\nHeads Up Display\r\n', '\nFront and Rear Cameras\r\n', '\nHeated Steering Wheel\r\n', '\nHeated and Cooled Seats\r\n', '\nZ-51 Performance Package\r\n', '\n6T2 Seats\r\n', '\nHigh Wing Spoiler\r\n', '\nComposite Rockers\r\n', '\nPainted Calipers\r\n', '\nTorch Red Seat Belts\r\n', '\n19"" & 20"" Carbon Flash Painted Wheels with Machined Edge\r\n', '\nPower Retractable Convertible Top\n']",CorvetteStingray,https://www.gaaclassiccars.com/vehicles/40109/2023-chevrolet-corvette-stingray,Black,229 Actual Miles,2,ST0113,Corvette,,Convertible,868 Views,VIN:1G1YB3D46P5102811,2023
Chevrolet,"['\nTrue Survivor\r\n', '\nNumbers Matching 396 CID Big Block Engine\r\n', '\nFactory SS 138 VIN \r\n', '\nTH400 Automatic Transmission\r\n', '\nFull Frame Off Restoration \r\n', '\n12 Bolt Rear End \r\n', '\nNew Interior\n']",ChevelleSS,https://www.gaaclassiccars.com/vehicles/39672/1968-chevrolet-chevelle-ss,Ice Blue,True Survivor,2,ST0114,Chevelle,,Coupe,"2,309 Views",VIN:138378A128290,1968
Dodge,"['\n1 of Only 2,089 1962 Dodge Polara 2-Door Convertibles Produced for 1962\r\n', '\nWhite with Cocoa Accents and Power White Convertible Top \r\n', '\nTwo Tone White and Cocoa Bucket Seat and Console Interior \r\n', '\nPower Windows \r\n', '\nFactory Under Dash A/C\r\n', '\nAM Pushbutton Radio \r\n', '\nPower Steering \r\n', '\nPower Brakes \r\n', '\n361 CID 4 BBL V8 Engine Rated at 305hp with Factory Dual Exhaust \r\n', '\nTorqueflite 3 Speed Automatic Transmission \r\n', '\n8 3/4"" Differential \r\n', '\nSpinner Style Hubcaps on White Sidewall Tires \r\n', '\nCalifornia Car Sold New at Wil-Mar Dodge in Los Angeles, CA \r\n', ""\nPhoto Album, 2 Owner's Manuals, Original Warranty Certificate Booklet and Dealer Sales Brochure with Car \r\n"", '\n63K Actual Miles\n']",Polara,https://www.gaaclassiccars.com/vehicles/39777/1962-dodge-polara,White,"1 of Only 2,089",2,ST0112,Polara,,Convertible,"2,958 Views",VIN:5422112770,1962
Ford,"['\nExample of the Original Thunderbolt that Len Richter Piloted to the AHRA Championship in 1964 and was Featured in the Movie ""The 1320""\r\n', '\nMulti-Year Rotisserie Restoration \r\n', '\n1967 FE 427 CID Ford Side-Oiler Engine \r\n', '\n4 Speed Ford Close Ratio Toploader Transmission \r\n', '\n9"" Custom Currie 31 Spline Rear Axle \r\n', '\nNever Been Used in Competition Drag Racing \r\n', '\n1967 FE 427 Side Oiler C7AE-A\r\n', '\n.600 lift camshaft - C8AX-6250-C\r\n', '\nForged pistons\r\n', '\nFord Low Riser 427 Heads C3AE-6090-D\r\n', '\nFord Low Riser Intake C3AE-9425-J\r\n', '\nFord Shelby 500 Holly Dual Quad 600 cfm Carburetors - Matching Set  - C3AF-9510-BK & C3AF-9510-BJ\r\n', '\nCorrect and Original Aluminum Thunderbolt Intake Air Box\r\n', '\nNOS Intake Hoses from Dearborn Steel Tubing\r\n', '\nBorg Warner T-10 4-Speed Transmission\r\n', '\nFord Shifter Original\r\n', '\nNew 11"" RAM Power Grip High Performance Clutch - 98769\r\n', '\nOriginal NHRA approved R.C. Industries Shatter Shield Bell Housing\r\n', '\nHi Rev Mini Starter\r\n', '\n9"" Custom Currie 31 spline rear axle assembly\r\n', '\nManual Brakes - Disc on Front, Drums on Rear\r\n', '\nFront Aluminum Tow Hooks as original\r\n', '\nCorrect Rear Steel Wheels with Hurst Pie-Crust Style Cheater Slicks - 235 / 70 R15\r\n', '\nCorrect Front Racing Wheels with Mickey Thompson Track Tires - 28 x 7.50 - 15LT\r\n', '\nCorrect Interior with Boston Front Bucket Seats\r\n', '\nCorrect factory rear cloth seat cover\r\n', '\nRear Arm Rest Delete\r\n', '\nRear Window Regulator Delete\r\n', '\nRadio Delete\r\n', '\nHeater Delete\r\n', '\nPassenger Windshield Wiper Delete\r\n', '\nCrites Exhaust Headers Correct\r\n', '\nCustom Exhaust System with Badlanz Electronic Cutouts\r\n', '\nNew and Correct Tie Rods, Steel Sleeves, Idler Arm & Bushings \r\n', '\nRebuilt Original Center Link \r\n', '\nNew U-Joints\r\n', '\nOriginal and New Autolite BF42 Spark Plugs\r\n', '\nNew OEM Ford Motorcable Spark Plug Wire Set\r\n', '\nBattery Cutoff Switch in Trunk\n']",FairlaneThunderbolt Tribute,https://www.gaaclassiccars.com/vehicles/39654/1964-ford-fairlane-thunderbolt-tribute,Gold,Multi-Year Rotisserie Restoration,2,ST0111,Fairlane,,Coupe,"5,536 Views",VIN:4K41T213980,1964
Ferrari,"['\nMileage Not Branded on Front of Title / Owner Believes to be 30,800 Miles / Verified on CARFAX Report \r\n', '\nClean CARFAX Report / Available Upon Request \r\n', '\nLED Carbon Fiber Steering Wheel ($7,800 Option)\r\n', '\nYellow Calipers \r\n', '\nDaytona Leather Seats \r\n', '\nScuderia Badges \r\n', '\n20"" Diamond Rims\n']",California,https://www.gaaclassiccars.com/vehicles/39646/2010-ferrari-california,Gray,30K Miles,2,ST0108,California,,Convertible,"2,638 Views",VIN:ZFF65LJA4A0173723,2010
Chevrolet,"['\n283 CID Engine\r\n', '\nAutomatic Transmission\r\n', '\nCashmere Blue & White \r\n', '\nTri-Tone Blue Interior\r\n', '\nSpinner Hubcaps\r\n', '\nWide White Wall Tires\r\n', '\nFender Skirts \r\n', '\nVintage A/C\r\n', '\nPower Steering\n']",Impala,https://www.gaaclassiccars.com/vehicles/40115/1958-chevrolet-impala,Blue,283 CID Engine,Blue,ST0109,Impala,,Hardtop,651 Views,VIN:F58J158880,1958
Chevrolet,"['\nFrame Off Rotisserie Restoration \r\n', '\nCortez Silver Finish\r\n', '\nBody Color Floors\r\n', '\nBlack Bucket Seat Interior \r\n', '\nPower Steering \r\n', '\nPower Disc Brakes \r\n', '\nBuilt 327 to 302 Specs \r\n', '\nWinters Intake \r\n', '\nMuncie 4 Speed Transmission \r\n', '\n12 Bolt Rear End \r\n', '\nGoodyear Tires\n']",CamaroZ28 Tribute,https://www.gaaclassiccars.com/vehicles/39825/1969-chevrolet-camaro-z28-tribute,Silver,Frame Off Rotisserie Restoration,2,ST0110,Camaro,,Coupe,"1,394 Views",VIN:124379N568986,1969
Ford Replica,"['\nNorth Carolina State Issued VIN\r\n', '\nSpecially Constructed Vehicle \r\n', '\nCustom Built \r\n', '\n350 GM Motor with 4 48mm Weber Carb Setup \r\n', '\nTCI Custom Chassis \r\n', '\nFiberglass Body \r\n', '\nSid Chavers BOP Top \r\n', '\nFord 9"" Rear \r\n', '\nGear Star 700R Transmission \r\n', '\nAmerican Racing Bonneville Style Chrome Wheels\n']",Model A Highboy Roadster,https://www.gaaclassiccars.com/vehicles/39671/1932-ford-replica-model-a-highboy-roadster,Burgundy,Custom Built,2,ST0106,Model A Highboy Roadster,,Roadster,"3,270 Views",VIN:NCS100798,1932
Ford,"['\nD Code 312 4V Engine \r\n', '\nAutomatic Transmission \r\n', '\nPower Steering \r\n', '\nDisc Brakes \r\n', '\nFactory Style Wire Wheels \r\n', '\nRadial Wide White Walls \r\n', '\nRestored to Original Interior \r\n', '\nTach and Gauges \r\n', '\nCustom Stereo \r\n', '\nPorthole Hardtop \r\n', '\nFrame Off Restoration\n']",Thunderbird,https://www.gaaclassiccars.com/vehicles/39929/1957-ford-thunderbird,Dust Rose,D Code 312 4V Engine,2,ST0107,Thunderbird,,Convertible,"1,772 Views",VIN:D7FH160540,1957
Ford,"['\nFull Restoration \r\n', '\nC-Code VIN\r\n', '\n289 CID V8 Engine\r\n', '\nFactory 4 Speed Manual Transmission\r\n', '\nUpgraded Front Disc Brakes \r\n', '\nNew A/C\r\n', '\n300 Miles on New Engine Rebuilt \r\n', '\nFactory Honey Gold Exterior with Ivy Gold Interior \r\n', '\nNew Retro Sound Radio\r\n', '\nOriginal Window Sticker & Invoice\n']",Mustang2+2,https://www.gaaclassiccars.com/vehicles/39735/1965-ford-mustang-2-2,Honey Gold,Full Restoration,2,ST0105,Mustang,,Fastback,"3,689 Views",VIN:5F09C330567,1965
Plymouth,"['\n440 CID 6-Barrel Holley Carburetor \r\n', '\nTremec 5 Speed Transmission with Hydraulic Clutch\r\n', '\nPower Disc Brakes \r\n', '\nPower Steering \r\n', '\nPower Top \r\n', '\nPower Windows\r\n', '\nBucket Seats\r\n', '\nPistol-Grip Shifter\r\n', '\nCorrect Exhaust Manifolds with OE Exhaust \r\n', '\nOE Radiator \r\n', '\nDual Horns \r\n', '\nCorrect Ignition and Spark Plug Wires \r\n', '\nCorrect Hoses and Clamps \r\n', '\n8 3/4 Rear Axle \r\n', '\nFrame Rail Connectors \r\n', '\nShaker Hood \r\n', '\nTinted Glass \r\n', '\nRim Blow Steering Wheel \r\n', '\nRally Gauges \r\n', '\nAM Radio and 8-Track Player\r\n', '\nRoad Lamps \r\n', '\nConsole \r\n', '\n15"" Rally Wheels\r\n', '\n245/60 Front & 255/60 Rear \r\n', '\nDual Outside Mirrors\r\n', '\nGlass Rear Window\r\n', '\nHood Pins \r\n', '\nElastomer Front Bumper \r\n', '\nDay/Night Mirror\r\n', '\nRemote Driver Mirror\r\n', '\nBlue Exterior with White Interior\n']",Barracuda,https://www.gaaclassiccars.com/vehicles/39789/1970-plymouth-barracuda,Blue,440 CID 6-Barrel Holley Carburetor,2,ST0104,Barracuda,,Convertible,"2,602 Views",VIN:BH27G0B142667,1970
Cadillac,"['\n2019 SEMA Feature Car \r\n', '\n6.0 LS LQ9 EFI Engine \r\n', '\n317 Aluminum Heads\r\n', '\nPower Steering \r\n', '\nElectric Power Disc Brakes \r\n', '\nVintage Heat & A/C\r\n', '\nFactory Style Wire Wheels \r\n', '\nCustom Leather Interior & Trunk \r\n', '\nPower Seats \r\n', '\nPower Windows \r\n', '\nTilt Column \r\n', '\nBanjo Steering Wheel \r\n', '\nCustom Stereo \r\n', '\nPower Door Locks\r\n', '\nDakota Digital Dash\r\n', '\nLokar Shifter \r\n', '\nFrame Off Restoration\n']",Coupe DeVille,https://www.gaaclassiccars.com/vehicles/39951/1958-cadillac-coupe-deville,Maybelline Pink,2019 SEMA Feature Car,2,ST0101,Coupe DeVille,,Coupe,"3,474 Views",VIN:58G112456,1958
Chevrolet,"['\nHigh End Custom Build \r\n', '\nMetal Fab Rear Spoiler \r\n', '\nShaved Drip Rails \r\n', '\nFlush Mount Glass \r\n', '\n6.2 LS 2 Built By PME (Pro Motor Engines) in Mooresville, NC \r\n', '\nTremec 6 Speed Manual Transmission \r\n', '\nTCI Custom Full Frame, All Powder Coated\r\n', '\n4 Link with Coilover Shocks \r\n', '\nCustom Interior\r\n', '\nPower Seats \r\n', '\nPower Windows \r\n', '\nCustom Gauges \r\n', '\nTilt Billet Column \r\n', '\n4 Wheel Wilwood Disc Brakes \r\n', '\nHidden Master Cylinder \r\n', '\nPower Rack & Pinion Steering \r\n', '\nMini-Tubs by Detroit Speed \r\n', '\n9"" Ford Rear End with 3.55 Gears\r\n', '\nDetroit Speed Headlight Doors\r\n', '\nElectric Wipers \r\n', '\nVintage A/C\r\n', '\nBTR Intake \r\n', '\nRushforth Billet 2 Piece Wheels\n']",CamaroResto Mod,https://www.gaaclassiccars.com/vehicles/40022/1969-chevrolet-camaro-resto-mod,Blue,High End Custom Build,2,ST0103,Camaro,,Coupe,"2,140 Views",VIN:123379N532882,1969
Chevrolet,"['\nGeorgia Registration Only\r\n', '\n409 CID V8 Casting # 3795623 Date Code L1860\r\n', '\n4 Speed Manual Transmission \r\n', '\nPower Steering \r\n', '\nPower Brakes \r\n', '\nTach & Gauges \r\n', '\nTrimmed in SS Equipment \r\n', '\nBumper Guards Front & Rear \r\n', '\nTwo-Toned Interior\r\n', '\nSpinner Hubcaps \r\n', '\nAccording to the VIN Number, this Impala is One of the Earliest Production Examples \r\n', '\nRecipient of a Thorough Restoration \r\n', '\nEngine Rebuilt by Lamar Walden (Known in Many Circles as Mr. 409)\r\n', '\nFeatured on the TV Show ""American Muscle""\r\n', ""\nIn several states including Georgia, Alabama, New York, Connecticut, Vermont, Maine, Rhode Island, and New Hampshire, vehicle titles aren't issued for older vehicles; registrations are. However, in North Carolina, a registration can be used to apply for a title if accompanied by a proof of purchase and notarized bill of sale. Our auction mandates that any seller with a registration provides a proof of purchase, and we'll furnish the buyer with a notarized bill of sale after the vehicle sells. We also announce this at the auction to help out-of-state buyers inquire with their DMV about the forms required to obtain a title in their state.\n""]",ImpalaConvertible,https://www.gaaclassiccars.com/vehicles/39787/1961-chevrolet-impala-convertible,Blue,409 CID V8 Engine,2,ST0102,Impala,,Convertible,"3,752 Views",VIN:11867B168246,1961
Chevrolet,"['\nCustom In & Out Frame Off Restoration \r\n', '\nPro-Touring\r\n', '\nProfessional California Restoration by Roy Brizio of San Francisco\r\n', '\nCustom Morrison Chassis with Identifying Stamp \r\n', '\nCoil Over, Front Sway Bar \r\n', '\n6.0L / V8 400hp Motor with Custom Engine Cover  \r\n', '\nCeramic Coated Headers\r\n', '\nDual Dynamax Exhaust with Aluminum Piping \r\n', '\nLED Lit Cup Holders \r\n', '\nPower Windows \r\n', '\nCustom Chevy Designed Door Panels and Seats \r\n', '\nBelt Drive System \r\n', '\nPower Steering \r\n', '\nAlways Garage Kept, Stored Inside and Cleaned 3 Times a Month \r\n', '\nAluminum Driveshaft \r\n', '\nWilwood Front and Rear ""Rotor Vette"" Disc Brakes \r\n', '\n14"" Slotted Oversize Rotors \r\n', '\nCustom Modified Steel Hood \r\n', '\nNew Gas Tank Restoration with New Sending Unit \r\n', '\nVery Low Miles on Build\r\n', '\n4L60 Automatic Transmission \r\n', '\nInner Fender Wells Reshaped \r\n', '\n2 Tone Paint \r\n', '\nAll Custom Interior, Nap Carpet, Dual Front and Rear Bucket Seats \r\n', '\n4 Wilwood Wheel Slotted Disc Brakes \r\n', '\nPowder Coated Chassis \r\n', '\nOne Piece Glass\n']",Bel AirNomad Pro-Touring,https://www.gaaclassiccars.com/vehicles/39808/1956-chevrolet-bel-air-nomad-pro-touring,Red/White,Custom In & Out Frame Off Restoration,2,ST0100,Bel Air,,Station Wagon,"1,888 Views",VIN:VC560075996,1956
